,product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
826,Kinetix Role M 1Fx Erkek Spor Ayakkabısı-Lacivert Kırmızı,127.0,149.0,15,freeShipping,0,0,SADIKSPOR,92,3
827,Jump 24931 Filet Kız Çocuk Spor Ayakkabı-Beyaz Mavi Sarı,127.0,169.0,25,freeShipping,0,0,SADIKSPOR,92,3
828,Kinetix Rolls Mesh Beyaz Erkek Spor Ayakkabı,117.0,0.0,0,freeShipping,100,1,Shoesonline,100,3
829,Mp 2202 Erkek Siyah Krampon,149.0,0.0,0,freeShipping,0,0,HNAYAKKABI,100,3
830,Jump 134H Beyaz Halısaha Krampon Çim Saha Erkek Futbol Ayakkabı,125.0,244.0,49,freeShipping,0,0,Potincim,100,3
831,Mehmet Mete 0041 Siyah-Beyaz Bestof Anatomik Bayan Spor Ayakkabı,109.0,179.0,39,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,3
832,Lotto Pembe Kadın Koşu Ayakkabısı R3397 Moon W,150.0,300.0,50,freeShipping,0,0,olimpiyatspor,97,3
833,Lotto R9537 Spor Ayakkabı,150.0,300.0,50,freeShipping,0,0,olimpiyatspor,97,3
834,KİNETİX SERGI TURF HALI SAHA,112.0,141.0,20,freeShipping,0,0,Özyurtlar_Spor,100,3
835,Rova Blue 0474 Beyaz Günlük Yüksek Taban Kadın Spor Ayakkabı,139.0,199.0,30,freeShipping,0,0,Rovablue,100,3
836,Hammer Jack Elexsus Günlük Erkek Spor Ayakkabı,139.0,299.0,53,freeShipping,0,0,ayakkabix,98,3
837,Lumberjack Helen 1FX  Cırtlı Çocuk Spor Ayakkabı,129.0,209.0,38,freeShipping,0,0,Viaspor,100,3
838,Slazenger ARASTA Koşu & Yürüyüş Kadın Ayakkabı Siyah,129.0,184.0,30,freeShipping,0,0,Slazenger,92,3
